Komoditas(Rp),Beras
4/1/2021,13400
5/1/2021,13400
6/1/2021,13400
7/1/2021,13400
8/1/2021,13400
11/1/2021,13500
12/1/2021,13500
13/01/2021,13500
14/01/2021,13500
15/01/2021,13500
18/01/2021,13500
19/01/2021,13500
20/01/2021,13500
21/01/2021,13500
22/01/2021,13500
25/01/2021,13500
26/01/2021,13500
27/01/2021,13500
28/01/2021,13500
29/01/2021,13500
1/2/2021,13500
2/2/2021,13500
3/2/2021,13500
4/2/2021,13500
5/2/2021,13500
8/2/2021,13500
9/2/2021,13500
10/2/2021,13500
11/2/2021,13500
15/02/2021,13500
16/02/2021,13500
17/02/2021,13500
18/02/2021,13500
19/02/2021,13500
22/02/2021,13500
23/02/2021,13500
24/02/2021,13500
25/02/2021,13500
26/02/2021,13500
1/3/2021,13500
2/3/2021,13500
3/3/2021,13500
4/3/2021,13500
5/3/2021,13500
8/3/2021,13500
9/3/2021,13500
10/3/2021,13500
12/3/2021,13500
15/03/2021,13500
16/03/2021,13500
17/03/2021,13500
18/03/2021,13500
19/03/2021,13500
22/03/2021,13500
23/03/2021,13500
24/03/2021,13500
25/03/2021,13500
26/03/2021,13500
29/03/2021,13500
30/03/2021,13500
31/03/2021,13500
1/4/2021,13500
5/4/2021,13500
6/4/2021,13500
7/4/2021,13500
8/4/2021,13500
9/4/2021,13500
12/4/2021,13500
13/04/2021,13500
14/04/2021,13500
15/04/2021,13500
16/04/2021,13500
19/04/2021,13500
20/04/2021,13500
21/04/2021,13500
22/04/2021,23650
23/04/2021,13500
26/04/2021,13500
27/04/2021,13500
28/04/2021,13500
29/04/2021,13500
30/04/2021,13500
3/5/2021,13500
4/5/2021,13500
5/5/2021,13500
6/5/2021,13500
7/5/2021,13500
10/5/2021,13500
11/5/2021,13500
17/05/2021,13500
18/05/2021,13500
19/05/2021,13500
20/05/2021,13500
21/05/2021,13500
24/05/2021,13500
25/05/2021,13500
27/05/2021,13500
28/05/2021,13500
31/05/2021,13500
2/6/2021,13500
3/6/2021,13500
4/6/2021,13500
7/6/2021,13500
8/6/2021,13500
9/6/2021,13500
10/6/2021,13500
11/6/2021,13500
14/06/2021,13500
15/06/2021,13500
16/06/2021,13500
17/06/2021,13500
18/06/2021,13500
21/06/2021,13500
22/06/2021,13500
23/06/2021,13500
24/06/2021,13500
25/06/2021,13500
28/06/2021,13500
29/06/2021,13500
30/06/2021,13500
1/7/2021,13500
2/7/2021,13500
5/7/2021,13500
6/7/2021,13500
7/7/2021,13500
8/7/2021,13100
9/7/2021,13050
12/7/2021,13050
13/07/2021,13050
14/07/2021,13050
15/07/2021,13050
16/07/2021,13050
19/07/2021,13150
21/07/2021,13150
22/07/2021,13150
23/07/2021,13150
26/07/2021,13050
27/07/2021,13050
28/07/2021,13050
29/07/2021,13050
30/07/2021,13050
2/8/2021,13050
3/8/2021,13050
4/8/2021,13050
5/8/2021,13050
6/8/2021,13250
9/8/2021,13250
10/8/2021,13250
12/8/2021,13250
13/08/2021,13250
16/08/2021,13250
18/08/2021,13250
19/08/2021,13250
20/08/2021,13250
23/08/2021,13250
24/08/2021,13250
25/08/2021,13250
26/08/2021,13250
27/08/2021,13250
30/08/2021,13250
31/08/2021,13250
1/9/2021,13250
2/9/2021,13250
3/9/2021,13250
6/9/2021,13250
7/9/2021,13250
8/9/2021,13250
9/9/2021,13250
10/9/2021,13250
13/09/2021,13250
14/09/2021,13250
15/09/2021,13250
16/09/2021,13250
17/09/2021,13250
20/09/2021,13000
21/09/2021,13250
22/09/2021,13250
23/09/2021,13250
24/09/2021,13250
27/09/2021,13100
28/09/2021,13100
29/09/2021,13100
30/09/2021,13100
1/10/2021,13100
4/10/2021,13100
5/10/2021,13100
6/10/2021,13100
7/10/2021,13100
8/10/2021,13100
11/10/2021,13100
12/10/2021,13100
13/10/2021,13100
14/10/2021,13100
15/10/2021,13100
18/10/2021,13100
19/10/2021,13100
21/10/2021,13100
22/10/2021,13100
25/10/2021,13100
26/10/2021,13100
27/10/2021,13100
28/10/2021,13100
29/10/2021,13100
1/11/2021,13100
2/11/2021,13100
3/11/2021,13100
4/11/2021,13100
5/11/2021,13100
8/11/2021,13100
9/11/2021,13100
10/11/2021,13050
11/11/2021,13050
12/11/2021,13050
15/11/2021,13050
16/11/2021,13050
17/11/2021,13050
18/11/2021,13050
19/11/2021,12900
22/11/2021,12900
23/11/2021,12900
24/11/2021,12900
25/11/2021,12900
26/11/2021,12900
29/11/2021,12900
30/11/2021,12900
1/12/2021,12900
2/12/2021,12900
3/12/2021,12900
6/12/2021,12900
7/12/2021,12900
8/12/2021,12900
9/12/2021,12900
10/12/2021,12900
13/12/2021,12900
14/12/2021,12900
15/12/2021,12900
16/12/2021,12900
17/12/2021,12900
20/12/2021,12850
21/12/2021,12850
22/12/2021,12650
23/12/2021,12850
24/12/2021,12850
27/12/2021,12850
28/12/2021,12950
29/12/2021,12950
30/12/2021,12950
31/12/2021,12950
3/1/2022,13000
4/1/2022,13000
5/1/2022,13000
6/1/2022,13000
7/1/2022,13000
10/1/2022,13000
11/1/2022,13050
12/1/2022,13050
13/01/2022,13050
14/01/2022,13050
17/01/2022,13050
18/01/2022,13050
19/01/2022,13050
20/01/2022,13050
21/01/2022,13050
24/01/2022,13050
25/01/2022,13050
26/01/2022,13050
27/01/2022,13050
28/01/2022,13050
31/01/2022,12950
2/2/2022,12950
3/2/2022,13000
4/2/2022,13000
7/2/2022,13150
8/2/2022,13150
9/2/2022,13150
10/2/2022,13150
11/2/2022,13150
14/02/2022,13150
15/02/2022,13150
16/02/2022,13150
17/02/2022,13150
18/02/2022,13150
21/02/2022,13100
22/02/2022,13100
23/02/2022,13100
24/02/2022,13100
25/02/2022,13100
1/3/2022,13100
2/3/2022,13100
4/3/2022,13100
7/3/2022,13100
8/3/2022,13100
9/3/2022,13100
10/3/2022,13100
11/3/2022,13100
14/03/2022,13100
15/03/2022,13100
16/03/2022,13100
17/03/2022,12700
18/03/2022,13100
21/03/2022,13100
22/03/2022,13100
23/03/2022,13100
24/03/2022,13100
25/03/2022,13100
28/03/2022,13100
29/03/2022,13100
30/03/2022,13100
31/03/2022,13100
1/4/2022,13100
4/4/2022,13100
5/4/2022,13100
6/4/2022,13100
7/4/2022,13100
8/4/2022,13100
11/4/2022,13100
12/4/2022,13100
13/04/2022,13100
14/04/2022,13100
18/04/2022,13100
19/04/2022,13100
20/04/2022,13100
21/04/2022,13100
22/04/2022,13100
25/04/2022,13100
26/04/2022,13100
27/04/2022,13100
28/04/2022,13100
9/5/2022,13100
10/5/2022,13100
11/5/2022,13100
12/5/2022,13100
13/05/2022,13100
17/05/2022,13100
18/05/2022,13100
19/05/2022,13100
20/05/2022,13100
23/05/2022,13100
24/05/2022,13000
25/05/2022,13050
27/05/2022,13000
30/05/2022,13000
31/05/2022,13000
2/6/2022,13000
3/6/2022,13000
6/6/2022,13000
7/6/2022,13000
8/6/2022,13000
9/6/2022,13000
10/6/2022,13000
13/06/2022,13000
14/06/2022,13000
15/06/2022,13000
16/06/2022,13000
17/06/2022,13000
20/06/2022,13000
21/06/2022,13000
22/06/2022,13000
23/06/2022,13000
24/06/2022,13000
27/06/2022,13000
28/06/2022,13000
29/06/2022,13000
30/06/2022,13000
1/7/2022,13000
4/7/2022,13000
5/7/2022,13000
6/7/2022,13000
7/7/2022,13000
8/7/2022,13000
11/7/2022,13000
12/7/2022,13000
13/07/2022,13000
14/07/2022,13000
15/07/2022,13000
18/07/2022,13000
19/07/2022,13000
20/07/2022,13000
21/07/2022,13000
22/07/2022,13000
25/07/2022,13000
26/07/2022,13000
27/07/2022,13000
28/07/2022,13000
29/07/2022,13000
1/8/2022,13000
2/8/2022,13000
3/8/2022,13000
4/8/2022,13000
5/8/2022,13000
8/8/2022,13000
9/8/2022,13000
10/8/2022,13000
11/8/2022,13000
12/8/2022,13000
15/08/2022,13000
16/08/2022,13000
18/08/2022,13000
19/08/2022,13050
22/08/2022,12850
23/08/2022,12850
24/08/2022,12850
25/08/2022,12850
26/08/2022,12850
29/08/2022,12950
30/08/2022,12950
31/08/2022,12950
1/9/2022,12950
2/9/2022,12950
5/9/2022,12950
6/9/2022,12950
7/9/2022,12950
8/9/2022,12950
9/9/2022,12950
12/9/2022,12950
13/09/2022,12950
14/09/2022,12950
15/09/2022,12950
16/09/2022,12950
19/09/2022,12950
20/09/2022,12950
21/09/2022,12950
22/09/2022,12950
23/09/2022,12950
26/09/2022,12950
27/09/2022,12950
28/09/2022,12950
29/09/2022,12950
30/09/2022,12950
